	Time (Secs)	CHAN1
R423	-0.00578	0.2125
R424	-0.00577	0.2125
R425	-0.00576	0.20625
R426	-0.00575	0.2
R427	-0.00574	0.2
R428	-0.00573	0.19375
R429	-0.00572	0.19375
R430	-0.00571	0.1875
R431	-0.0057	0.1875
R432	-0.00569	0.1875
R433	-0.00568	0.1875
R434	-0.00567	0.18125
R435	-0.00566	0.18125
R436	-0.00565	0.18125
R437	-0.00564	0.175
R438	-0.00563	0.16875
R439	-0.00562	0.16875
R440	-0.00561	0.16875
R441	-0.0056	0.16875
R442	-0.00559	0.16875
R443	-0.00558	0.1625
R444	-0.00557	0.15625
R445	-0.00556	0.15625
R446	-0.00555	0.14375
R447	-0.00554	0.14375
R448	-0.00553	0.1375
R449	-0.00552	0.14375
R450	-0.00551	0.14375
R451	-0.0055	0.1375
R452	-0.00549	0.1375
R453	-0.00548	0.1375
R454	-0.00547	0.13125
R455	-0.00546	0.125
R456	-0.00545	0.125
R457	-0.00544	0.125
R458	-0.00543	0.11875
R459	-0.00542	0.11875
R460	-0.00541	0.1125
R461	-0.0054	0.11875
R462	-0.00539	0.1125
R463	-0.00538	0.10625
R464	-0.00537	0
R465	-0.00536	0
R466	-0.00535	0
R467	-0.00534	0.1
R468	-0.00533	0
R469	-0.00532	0
R470	-0.00531	0
R471	-0.0053	0
R472	-0.00529	0
R473	-0.00528	0
R474	-0.00527	0.075
R475	-0.00526	0.075
R476	-0.00525	0.075
R477	-0.00524	0.075
R478	-0.00523	0.06875
R479	-0.00522	0.06875
R480	-0.00521	0
R481	-0.0052	0
R482	-0.00519	0
R483	-0.00518	0
R484	-0.00517	0
R485	-0.00516	0
R486	-0.00515	0.04375
R487	-0.00514	0.04375
R488	-0.00513	0.0375
R489	-0.00512	0.0375
R490	-0.00511	0.0375
R491	-0.0051	0.0375
R492	-0.00509	0
R493	-0.00508	0
R494	-0.00507	0
R495	-0.00506	0
R496	-0.00505	0
R497	-0.00504	0
R498	-0.00503	0.0125
R499	-0.00502	0.0125
R500	-0.00501	0
R501	-0.005	0
R502	-0.00499	0
R503	-0.00498	0
R504	-0.00497	0
R505	-0.00496	0
R506	-0.00495	0
R507	-0.00494	0
R508	-0.00493	0
R509	-0.00492	0.0125
R510	-0.00491	0.0125
R511	-0.0049	0.0125
R512	-0.00489	0.0125
R513	-0.00488	0.0125
R514	-0.00487	0
R515	-0.00486	0.0125
R516	-0.00485	0.0125
R517	-0.00484	0
R518	-0.00483	0
R519	-0.00482	0
R520	-0.00481	0
R521	-0.0048	0
R522	-0.00479	0
R523	-0.00478	0
R524	-0.00477	0
R525	-0.00476	0
R526	-0.00475	0
R527	-0.00474	0
R528	-0.00473	0
R529	-0.00472	0
R530	-0.00471	0
R531	-0.0047	0
R532	-0.00469	0
R533	-0.00468	0
R534	-0.00467	0
R535	-0.00466	0
R536	-0.00465	0
R537	-0.00464	0
R538	-0.00463	0
R539	-0.00462	0
R540	-0.00461	0
R541	-0.0046	0
R542	-0.00459	0
R543	-0.00458	0
R544	-0.00457	0
R545	-0.00456	0
R546	-0.00455	0
R547	-0.00454	0
R548	-0.00453	0
R549	-0.00452	0
R550	-0.00451	0
R551	-0.0045	0
R552	-0.00449	0
R553	-0.00448	0
R554	-0.00447	0
R555	-0.00446	0
R556	-0.00445	0
R557	-0.00444	0
R558	-0.00443	0
R559	-0.00442	0
R560	-0.00441	0
R561	-0.0044	0
R562	-0.00439	0
R563	-0.00438	0
R564	-0.00437	0
R565	-0.00436	0
R566	-0.00435	0
R567	-0.00434	0
R568	-0.00433	0
R569	-0.00432	0
R570	-0.00431	0
R571	-0.0043	0
R572	-0.00429	0
R573	-0.00428	0
R574	-0.00427	0
R575	-0.00426	0
R576	-0.00425	0
R577	-0.00424	0
R578	-0.00423	0
R579	-0.00422	0
R580	-0.00421	0
R581	-0.0042	0
R582	-0.00419	0
R583	-0.00418	0
R584	-0.00417	0
R585	-0.00416	0
R586	-0.00415	0
R587	-0.00414	0
R588	-0.00413	0
R589	-0.00412	0
R590	-0.00411	0
R591	-0.0041	0
R592	-0.00409	0
R593	-0.00408	0
R594	-0.00407	0
R595	-0.00406	0
R596	-0.00405	0
R597	-0.00404	0
R598	-0.00403	0
R599	-0.00402	0
R600	-0.00401	0
R601	-0.004	0
R602	-0.00399	0
R603	-0.00398	0
R604	-0.00397	0
R605	-0.00396	0
R606	-0.00395	0
R607	-0.00394	0
R608	-0.00393	0
R609	-0.00392	0
R610	-0.00391	0
R611	-0.0039	0
R612	-0.00389	0
R613	-0.00388	0
R614	-0.00387	0
R615	-0.00386	0
R616	-0.00385	0
R617	-0.00384	0
R618	-0.00383	0
R619	-0.00382	0
R620	-0.00381	0
R621	-0.0038	0
R622	-0.00379	0
R623	-0.00378	0
R624	-0.00377	0
R625	-0.00376	0
R626	-0.00375	0
R627	-0.00374	0
R628	-0.00373	0
R629	-0.00372	0
R630	-0.00371	0
R631	-0.0037	0
R632	-0.00369	0
R633	-0.00368	0
R634	-0.00367	0
R635	-0.00366	0
R636	-0.00365	0
R637	-0.00364	0
R638	-0.00363	0
R639	-0.00362	0
R640	-0.00361	0
R641	-0.0036	0
R642	-0.00359	0
R643	-0.00358	0
R644	-0.00357	0
R645	-0.00356	0
R646	-0.00355	0
R647	-0.00354	0
R648	-0.00353	0
R649	-0.00352	0
R650	-0.00351	0
R651	-0.0035	0
R652	-0.00349	0
R653	-0.00348	0
R654	-0.00347	0
R655	-0.00346	0
R656	-0.00345	0.0125
R657	-0.00344	0
R658	-0.00343	0
R659	-0.00342	0
R660	-0.00341	0
R661	-0.0034	0
R662	-0.00339	0
R663	-0.00338	0
R664	-0.00337	0
R665	-0.00336	0
R666	-0.00335	0
R667	-0.00334	0
R668	-0.00333	0
R669	-0.00332	0
R670	-0.00331	0
R671	-0.0033	0.0125
R672	-0.00329	0
R673	-0.00328	0
R674	-0.00327	0
R675	-0.00326	0
R676	-0.00325	0
R677	-0.00324	0
R678	-0.00323	0
R679	-0.00322	0
R680	-0.00321	0
R681	-0.0032	0
R682	-0.00319	0
R683	-0.00318	0
R684	-0.00317	0
R685	-0.00316	0
R686	-0.00315	0
R687	-0.00314	0
R688	-0.00313	0
R689	-0.00312	0
R690	-0.00311	0
R691	-0.0031	0
R692	-0.00309	0
R693	-0.00308	0
R694	-0.00307	0
R695	-0.00306	0
R696	-0.00305	0
R697	-0.00304	0
R698	-0.00303	0
R699	-0.00302	0
R700	-0.00301	0
R701	-0.003	0
R702	-0.00299	0
R703	-0.00298	0
R704	-0.00297	0
R705	-0.00296	0
R706	-0.00295	0
R707	-0.00294	0
R708	-0.00293	0
R709	-0.00292	0
R710	-0.00291	0
R711	-0.0029	0
R712	-0.00289	0
R713	-0.00288	0
R714	-0.00287	0
R715	-0.00286	0
R716	-0.00285	0
R717	-0.00284	0
R718	-0.00283	0
R719	-0.00282	0
R720	-0.00281	0
R721	-0.0028	0
R722	-0.00279	0
R723	-0.00278	0
R724	-0.00277	0
R725	-0.00276	0
R726	-0.00275	0
R727	-0.00274	0
R728	-0.00273	0
R729	-0.00272	0
R730	-0.00271	0
R731	-0.0027	0
R732	-0.00269	0
R733	-0.00268	0
R734	-0.00267	0
R735	-0.00266	0
R736	-0.00265	0
R737	-0.00264	0
R738	-0.00263	0
R739	-0.00262	0
R740	-0.00261	0
R741	-0.0026	0
R742	-0.00259	0
R743	-0.00258	0
R744	-0.00257	0
R745	-0.00256	0
R746	-0.00255	0
R747	-0.00254	0
R748	-0.00253	0
R749	-0.00252	0
R750	-0.00251	0
R751	-0.0025	0
R752	-0.00249	0
R753	-0.00248	0
R754	-0.00247	0
R755	-0.00246	0
R756	-0.00245	0
R757	-0.00244	0
R758	-0.00243	0
R759	-0.00242	0
R760	-0.00241	0
R761	-0.0024	0
R762	-0.00239	0
R763	-0.00238	0
R764	-0.00237	0
R765	-0.00236	0
R766	-0.00235	0
R767	-0.00234	0
R768	-0.00233	0
R769	-0.00232	0
R770	-0.00231	0
R771	-0.0023	0
R772	-0.00229	0
R773	-0.00228	0
R774	-0.00227	0.0125
R775	-0.00226	0
R776	-0.00225	0
R777	-0.00224	0
R778	-0.00223	0
R779	-0.00222	0
R780	-0.00221	0
R781	-0.0022	0
R782	-0.00219	0
R783	-0.00218	0
R784	-0.00217	0
R785	-0.00216	0
R786	-0.00215	0
R787	-0.00214	0
R788	-0.00213	0
R789	-0.00212	0
R790	-0.00211	0
R791	-0.0021	0
R792	-0.00209	0
R793	-0.00208	0
R794	-0.00207	0
R795	-0.00206	0
R796	-0.00205	0
R797	-0.00204	0
R798	-0.00203	0
R799	-0.00202	0
R800	-0.00201	0
R801	-0.002	0
R802	-0.00199	0
R803	-0.00198	0
R804	-0.00197	0
R805	-0.00196	0
R806	-0.00195	0
R807	-0.00194	0
R808	-0.00193	0
R809	-0.00192	0
R810	-0.00191	0
R811	-0.0019	0
R812	-0.00189	0
R813	-0.00188	0
R814	-0.00187	0
R815	-0.00186	0
R816	-0.00185	0
R817	-0.00184	0
R818	-0.00183	0
R819	-0.00182	0
R820	-0.00181	0
R821	-0.0018	0
R822	-0.00179	0
R823	-0.00178	0
R824	-0.00177	0
R825	-0.00176	0
R826	-0.00175	0
R827	-0.00174	0
R828	-0.00173	0
R829	-0.00172	0
R830	-0.00171	0
R831	-0.0017	0
R832	-0.00169	0
R833	-0.00168	0
R834	-0.00167	0
R835	-0.00166	0
R836	-0.00165	0
R837	-0.00164	0
R838	-0.00163	0
R839	-0.00162	0
R840	-0.00161	0
R841	-0.0016	0
R842	-0.00159	0
R843	-0.00158	0
R844	-0.00157	0
R845	-0.00156	0
R846	-0.00155	0
R847	-0.00154	0
R848	-0.00153	0
R849	-0.00152	0
R850	-0.00151	0
R851	-0.0015	0
R852	-0.00149	0
R853	-0.00148	0.0125
R854	-0.00147	0
R855	-0.00146	0
R856	-0.00145	0
R857	-0.00144	0
R858	-0.00143	0
R859	-0.00142	0
R860	-0.00141	0
R861	-0.0014	0
R862	-0.00139	0
R863	-0.00138	0
R864	-0.00137	0
R865	-0.00136	0
R866	-0.00135	0
R867	-0.00134	0
R868	-0.00133	0
R869	-0.00132	0
R870	-0.00131	0
R871	-0.0013	0
R872	-0.00129	0
R873	-0.00128	0
R874	-0.00127	0
R875	-0.00126	0
R876	-0.00125	0
R877	-0.00124	0
R878	-0.00123	0
R879	-0.00122	0
R880	-0.00121	0
R881	-0.0012	0
R882	-0.00119	0
R883	-0.00118	0
R884	-0.00117	0
R885	-0.00116	0
R886	-0.00115	0
R887	-0.00114	0
R888	-0.00113	0
R889	-0.00112	0
R890	-0.00111	0
R891	-0.0011	0
R892	-0.00109	0
R893	-0.00108	0
R894	-0.00107	0.0125
R895	-0.00106	0
R896	-0.00105	0
R897	-0.00104	0
R898	-0.00103	0
R899	-0.00102	0
R900	-0.00101	0
R901	0	0
R902	-0.00099	0
R903	-0.00098	0
R904	0	0
R905	0	0
R906	0	0
R907	-0.00094	0
R908	-0.00093	0
R909	0	0
R910	0	0
R911	-0.0009	0
R912	-0.00089	0
R913	0	0
R914	0	0
R915	-0.00086	0
R916	-0.00085	0
R917	0	0
R918	0	0
R919	-0.00082	0
R920	-0.00081	0
R921	0	0
R922	0	0
R923	0	0
R924	-0.00077	0
R925	-0.00076	0
R926	0	0
R927	0	0
R928	-0.00073	0
R929	-0.00072	0
R930	0	0
R931	0	0
R932	-0.00069	0
R933	-0.00068	0
R934	0	0
R935	0	0
R936	-0.00065	0
R937	-0.00064	0
R938	0	0
R939	0	0
R940	0	0
R941	-0.0006	0
R942	-0.00059	0
R943	0	0
R944	0	0
R945	-0.00056	0
R946	-0.00055	0
R947	0	0
R948	0	0
R949	-0.00052	0
R950	-0.00051	0
R951	0	0
R952	0	0
R953	-0.00048	0
R954	-0.00047	0
R955	0	0
R956	0	0
R957	0	0
R958	-0.00043	0
R959	-0.00042	0
R960	0	0
R961	0	0
R962	-0.00039	0
R963	-0.00038	0
R964	0	0
R965	0	0
R966	-0.00035	0
R967	-0.00034	0
R968	0	0
R969	0	0
R970	-0.00031	0
R971	-0.0003	0
R972	0	0
R973	0	0
R974	0	0
R975	-0.00026	0
R976	-0.00025	0
R977	0	0
R978	0	0
R979	-0.00022	0
R980	-0.00021	0
R981	0	0
R982	0	0
R983	-0.00018	0
R984	-0.00017	0
R985	0	0
R986	0	0
R987	-0.00014	0
R988	-0.00013	0
R989	0	0
R990	0	0
R991	0	0
R992	0	0
R993	0	0
R994	0	0
R995	0	0
R996	0	0
R997	0	0
R998	0	0
R999	0	0
R1000	0	0
R1001	0	0
R1002	0	0.125
R1003	0	0.875
R1004	0	0.86875
R1005	0	0.8625
R1006	0	0.86875
R1007	0	0.8625
R1008	0	0.8625
R1009	0	0.8625
R1010	0	0.86875
R1011	0	0.8625
R1012	0	0.86875
R1013	0.00012	0.86875
R1014	0.00013	0.86875
R1015	0	0.8625
R1016	0	0.8625
R1017	0.00016	0.8625
R1018	0.00017	0.8625
R1019	0	0.8625
R1020	0	0.8625
R1021	0	0.8625
R1022	0.00021	0.8625
R1023	0	0.8625
R1024	0	0.8625
R1025	0	0.8625
R1026	0.00025	0.8625
R1027	0.00026	0.8625
R1028	0	0.8625
R1029	0	0.8625
R1030	0.00029	0.8625
R1031	0.0003	0.8625
R1032	0	0.8625
R1033	0	0.85625
R1034	0.00033	0.85625
R1035	0.00034	0.8625
R1036	0	0.8625
R1037	0	0.8625
R1038	0	0.85625
R1039	0.00038	0.85625
R1040	0	0.8625
R1041	0	0.85625
R1042	0	0.85625
R1043	0.00042	0.8625
R1044	0.00043	0.85625
R1045	0	0.85625
R1046	0	0.85625
R1047	0.00046	0.85625
R1048	0.00047	0.85625
R1049	0	0.85
R1050	0	0.85
R1051	0.0005	0.85625
R1052	0.00051	0.85625
R1053	0	0.85
R1054	0	0.85625
R1055	0	0.84375
R1056	0.00055	0.85
R1057	0	0.85
R1058	0	0.85
R1059	0	0.85
R1060	0.00059	0.85
R1061	0.0006	0.85
R1062	0	0.85
R1063	0	0.85
R1064	0.00063	0.85
R1065	0.00064	0.85
R1066	0	0.85
R1067	0	0.84375
R1068	0.00067	0.84375
R1069	0.00068	0.84375
R1070	0	0.84375
R1071	0	0.84375
R1072	0	0.8375
R1073	0.00072	0.84375
R1074	0	0.84375
R1075	0	0.8375
R1076	0	0.84375
R1077	0.00076	0.8375
R1078	0.00077	0.8375
R1079	0	0.8375
R1080	0	0.8375
R1081	0.0008	0.8375
R1082	0.00081	0.8375
R1083	0	0.8375
R1084	0	0.8375
R1085	0.00084	0.83125
R1086	0.00085	0.83125
R1087	0	0.8375
R1088	0	0.825
R1089	0	0.83125
R1090	0.00089	0.83125
R1091	0	0.825
R1092	0	0.825
R1093	0	0.825
R1094	0.00093	0.825
R1095	0.00094	0.825
R1096	0	0.825
R1097	0	0.825
R1098	0.00097	0.825
R1099	0.00098	0.825
R1100	0	0.825
R1101	0.001	0.81875
R1102	0.00101	0.81875
R1103	0.00102	0.81875
R1104	0.00103	0.81875
R1105	0.00104	0.81875
R1106	0.00105	0.81875
R1107	0.00106	0.8125
R1108	0.00107	0.8125
R1109	0.00108	0.8125
R1110	0.00109	0.8125
R1111	0.0011	0.8125
R1112	0.00111	0.8125
R1113	0.00112	0.8125
R1114	0.00113	0.8125
R1115	0.00114	0.80625
R1116	0.00115	0.80625
R1117	0.00116	0.80625
R1118	0.00117	0.80625
R1119	0.00118	0.80625
R1120	0.00119	0.8
R1121	0.0012	0.8
R1122	0.00121	0.80625
R1123	0.00122	0.8
R1124	0.00123	0.8
R1125	0.00124	0.8
R1126	0.00125	0.8
R1127	0.00126	0.8
R1128	0.00127	0.79375
R1129	0.00128	0.79375
R1130	0.00129	0.79375
R1131	0.0013	0.7875
R1132	0.00131	0.7875
R1133	0.00132	0.7875
R1134	0.00133	0.79375
R1135	0.00134	0.7875
R1136	0.00135	0.7875
R1137	0.00136	0.7875
R1138	0.00137	0.78125
R1139	0.00138	0.78125
R1140	0.00139	0.78125
R1141	0.0014	0.775
R1142	0.00141	0.78125
R1143	0.00142	0.775
R1144	0.00143	0.775
R1145	0.00144	0.775
R1146	0.00145	0.76875
R1147	0.00146	0.775
R1148	0.00147	0.775
