	Time (Secs)	CHAN1
R1	-0.01	0
R2	-0.00999	0.88125
R3	-0.00998	0.86875
R4	-0.00997	0.86875
R5	-0.00996	0.86875
R6	-0.00995	0.86875
R7	-0.00994	0.86875
R8	-0.00993	0.8625
R9	-0.00992	0.86875
R10	-0.00991	0.86875
R11	-0.0099	0.86875
R12	-0.00989	0.8625
R13	-0.00988	0.8625
R14	-0.00987	0.86875
R15	-0.00986	0.86875
R16	-0.00985	0.8625
R17	-0.00984	0.86875
R18	-0.00983	0.86875
R19	-0.00982	0.86875
R20	-0.00981	0.86875
R21	-0.0098	0.8625
R22	-0.00979	0.86875
R23	-0.00978	0.86875
R24	-0.00977	0.8625
R25	-0.00976	0.86875
R26	-0.00975	0.8625
R27	-0.00974	0.8625
R28	-0.00973	0.8625
R29	-0.00972	0.8625
R30	-0.00971	0.8625
R31	-0.0097	0.8625
R32	-0.00969	0.8625
R33	-0.00968	0.8625
R34	-0.00967	0.8625
R35	-0.00966	0.8625
R36	-0.00965	0.8625
R37	-0.00964	0.8625
R38	-0.00963	0.8625
R39	-0.00962	0.8625
R40	-0.00961	0.8625
R41	-0.0096	0.8625
R42	-0.00959	0.8625
R43	-0.00958	0.85625
R44	-0.00957	0.85625
R45	-0.00956	0.8625
R46	-0.00955	0.85625
R47	-0.00954	0.85625
R48	-0.00953	0.85625
R49	-0.00952	0.85625
R50	-0.00951	0.85625
R51	-0.0095	0.85625
R52	-0.00949	0.85625
R53	-0.00948	0.85
R54	-0.00947	0.85625
R55	-0.00946	0.85625
R56	-0.00945	0.85625
R57	-0.00944	0.85625
R58	-0.00943	0.85
R59	-0.00942	0.85
R60	-0.00941	0.85
R61	-0.0094	0.85625
R62	-0.00939	0.85
R63	-0.00938	0.85
R64	-0.00937	0.84375
R65	-0.00936	0.85
R66	-0.00935	0.85
R67	-0.00934	0.85
R68	-0.00933	0.84375
R69	-0.00932	0.84375
R70	-0.00931	0.84375
R71	-0.0093	0.84375
R72	-0.00929	0.84375
R73	-0.00928	0.84375
R74	-0.00927	0.84375
R75	-0.00926	0.8375
R76	-0.00925	0.84375
R77	-0.00924	0.84375
R78	-0.00923	0.84375
R79	-0.00922	0.8375
R80	-0.00921	0.8375
R81	-0.0092	0.8375
R82	-0.00919	0.8375
R83	-0.00918	0.8375
R84	-0.00917	0.8375
R85	-0.00916	0.8375
R86	-0.00915	0.8375
R87	-0.00914	0.8375
R88	-0.00913	0.83125
R89	-0.00912	0.83125
R90	-0.00911	0.83125
R91	-0.0091	0.83125
R92	-0.00909	0.83125
R93	-0.00908	0.825
R94	-0.00907	0.825
R95	-0.00906	0.83125
R96	-0.00905	0.825
R97	-0.00904	0.825
R98	-0.00903	0.825
R99	-0.00902	0.825
R100	-0.00901	0.825
R101	-0.009	0.825
R102	-0.00899	0.81875
R103	-0.00898	0.81875
R104	-0.00897	0.81875
R105	-0.00896	0.81875
R106	-0.00895	0.81875
R107	-0.00894	0.81875
R108	-0.00893	0.81875
R109	-0.00892	0.8125
R110	-0.00891	0.8125
R111	-0.0089	0.8125
R112	-0.00889	0.81875
R113	-0.00888	0.8125
R114	-0.00887	0.8125
R115	-0.00886	0.80625
R116	-0.00885	0.80625
R117	-0.00884	0.80625
R118	-0.00883	0.80625
R119	-0.00882	0.80625
R120	-0.00881	0.80625
R121	-0.0088	0.8
R122	-0.00879	0.8
R123	-0.00878	0.8
R124	-0.00877	0.8
R125	-0.00876	0.8
R126	-0.00875	0.8
R127	-0.00874	0.79375
R128	-0.00873	0.79375
R129	-0.00872	0.79375
R130	-0.00871	0.8
R131	-0.0087	0.79375
R132	-0.00869	0.7875
R133	-0.00868	0.79375
R134	-0.00867	0.7875
R135	-0.00866	0.7875
R136	-0.00865	0.7875
R137	-0.00864	0.7875
R138	-0.00863	0.7875
R139	-0.00862	0.78125
R140	-0.00861	0.78125
R141	-0.0086	0.78125
R142	-0.00859	0.78125
R143	-0.00858	0.775
R144	-0.00857	0.775
R145	-0.00856	0.775
R146	-0.00855	0.775
R147	-0.00854	0.775
R148	-0.00853	0.775
R149	-0.00852	0.76875
R150	-0.00851	0.775
R151	-0.0085	0.76875
R152	-0.00849	0.76875
R153	-0.00848	0.76875
R154	-0.00847	0.76875
R155	-0.00846	0.7625
R156	-0.00845	0.76875
R157	-0.00844	0.7625
R158	-0.00843	0.75625
R159	-0.00842	0.7625
R160	-0.00841	0.75625
R161	-0.0084	0.75625
R162	-0.00839	0.75625
R163	-0.00838	0.75625
R164	-0.00837	0.75
R165	-0.00836	0.75625
R166	-0.00835	0.75
R167	-0.00834	0.75
R168	-0.00833	0.75
R169	-0.00832	0.75
R170	-0.00831	0.74375
R171	-0.0083	0.74375
R172	-0.00829	0.74375
R173	-0.00828	0.74375
R174	-0.00827	0.7375
R175	-0.00826	0.7375
R176	-0.00825	0.7375
R177	-0.00824	0.73125
R178	-0.00823	0.73125
R179	-0.00822	0.73125
R180	-0.00821	0.73125
R181	-0.0082	0.73125
R182	-0.00819	0.725
R183	-0.00818	0.725
R184	-0.00817	0.725
R185	-0.00816	0.71875
R186	-0.00815	0.725
R187	-0.00814	0.71875
R188	-0.00813	0.71875
R189	-0.00812	0.725
R190	-0.00811	0.7125
R191	-0.0081	0.7125
R192	-0.00809	0.7125
R193	-0.00808	0.7125
R194	-0.00807	0.70625
R195	-0.00806	0.70625
R196	-0.00805	0.70625
R197	-0.00804	0.7
R198	-0.00803	0.70625
R199	-0.00802	0.7
R200	-0.00801	0.7
R201	-0.008	0.7
R202	-0.00799	0.7
R203	-0.00798	0.69375
R204	-0.00797	0.69375
R205	-0.00796	0.6875
R206	-0.00795	0.6875
R207	-0.00794	0.6875
R208	-0.00793	0.68125
R209	-0.00792	0.68125
R210	-0.00791	0.68125
R211	-0.0079	0.68125
R212	-0.00789	0.68125
R213	-0.00788	0.675
R214	-0.00787	0.675
R215	-0.00786	0.675
R216	-0.00785	0.66875
R217	-0.00784	0.66875
R218	-0.00783	0.66875
R219	-0.00782	0.66875
R220	-0.00781	0.66875
R221	-0.0078	0.6625
R222	-0.00779	0.6625
R223	-0.00778	0.6625
R224	-0.00777	0.65625
R225	-0.00776	0.65625
R226	-0.00775	0.65625
R227	-0.00774	0.65
R228	-0.00773	0.65625
R229	-0.00772	0.65
R230	-0.00771	0.65
R231	-0.0077	0.64375
R232	-0.00769	0.6375
R233	-0.00768	0.64375
R234	-0.00767	0.64375
R235	-0.00766	0.6375
R236	-0.00765	0.6375
R237	-0.00764	0.6375
R238	-0.00763	0.6375
R239	-0.00762	0.63125
R240	-0.00761	0.63125
R241	-0.0076	0.63125
R242	-0.00759	0.61875
R243	-0.00758	0.625
R244	-0.00757	0.61875
R245	-0.00756	0.61875
R246	-0.00755	0.6125
R247	-0.00754	0.6125
R248	-0.00753	0.6125
R249	-0.00752	0.60625
R250	-0.00751	0.60625
R251	-0.0075	0.60625
R252	-0.00749	0.6
R253	-0.00748	0.60625
R254	-0.00747	0.6
R255	-0.00746	0.6
R256	-0.00745	0.6
R257	-0.00744	0.59375
R258	-0.00743	0.59375
R259	-0.00742	0.59375
R260	-0.00741	0.5875
R261	-0.0074	0.5875
R262	-0.00739	0.58125
R263	-0.00738	0.58125
R264	-0.00737	0.575
R265	-0.00736	0.575
R266	-0.00735	0.575
R267	-0.00734	0.575
R268	-0.00733	0.575
R269	-0.00732	0.56875
R270	-0.00731	0.56875
R271	-0.0073	0.56875
R272	-0.00729	0.56875
R273	-0.00728	0.5625
R274	-0.00727	0.5625
R275	-0.00726	0.5625
R276	-0.00725	0.55625
R277	-0.00724	0.55
R278	-0.00723	0.54375
R279	-0.00722	0.53125
R280	-0.00721	0.45625
R281	-0.0072	0.4375
R282	-0.00719	0.41875
R283	-0.00718	0.3875
R284	-0.00717	0.36875
R285	-0.00716	0.34375
R286	-0.00715	0.39375
R287	-0.00714	0.5375
R288	-0.00713	0.53125
R289	-0.00712	0.53125
R290	-0.00711	0.53125
R291	-0.0071	0.525
R292	-0.00709	0.525
R293	-0.00708	0.525
R294	-0.00707	0.51875
R295	-0.00706	0.5125
R296	-0.00705	0.45625
R297	-0.00704	0.43125
R298	-0.00703	0.4125
R299	-0.00702	0.3875
R300	-0.00701	0.36875
R301	-0.007	0.34375
R302	-0.00699	0.325
R303	-0.00698	0.3125
R304	-0.00697	0.5
R305	-0.00696	0.5
R306	-0.00695	0.49375
R307	-0.00694	0.49375
R308	-0.00693	0.4875
R309	-0.00692	0.4875
R310	-0.00691	0.48125
R311	-0.0069	0.48125
R312	-0.00689	0.46875
R313	-0.00688	0.45
R314	-0.00687	0.425
R315	-0.00686	0.4
R316	-0.00685	0.38125
R317	-0.00684	0.35
R318	-0.00683	0.33125
R319	-0.00682	0.31875
R320	-0.00681	0.30625
R321	-0.0068	0.29375
R322	-0.00679	0.45625
R323	-0.00678	0.45625
R324	-0.00677	0.45625
R325	-0.00676	0.45625
R326	-0.00675	0.45
R327	-0.00674	0.44375
R328	-0.00673	0.44375
R329	-0.00672	0.4375
R330	-0.00671	0.43125
R331	-0.0067	0.40625
R332	-0.00669	0.39375
R333	-0.00668	0.36875
R334	-0.00667	0.34375
R335	-0.00666	0.33125
R336	-0.00665	0.3125
R337	-0.00664	0.3
R338	-0.00663	0.2875
R339	-0.00662	0.26875
R340	-0.00661	0.4125
R341	-0.0066	0.4125
R342	-0.00659	0.40625
R343	-0.00658	0.4125
R344	-0.00657	0.40625
R345	-0.00656	0.40625
R346	-0.00655	0.4
R347	-0.00654	0.39375
R348	-0.00653	0.39375
R349	-0.00652	0.38125
R350	-0.00651	0.35625
R351	-0.0065	0.34375
R352	-0.00649	0.325
R353	-0.00648	0.30625
R354	-0.00647	0.3
R355	-0.00646	0.28125
R356	-0.00645	0.26875
R357	-0.00644	0.36875
R358	-0.00643	0.36875
R359	-0.00642	0.36875
R360	-0.00641	0.3625
R361	-0.0064	0.36875
R362	-0.00639	0.3625
R363	-0.00638	0.3625
R364	-0.00637	0.3625
R365	-0.00636	0.35625
R366	-0.00635	0.35625
R367	-0.00634	0.35
R368	-0.00633	0.33125
R369	-0.00632	0.31875
R370	-0.00631	0.30625
R371	-0.0063	0.2875
R372	-0.00629	0.275
R373	-0.00628	0.2625
R374	-0.00627	0.25625
R375	-0.00626	0.33125
R376	-0.00625	0.325
R377	-0.00624	0.325
R378	-0.00623	0.325
R379	-0.00622	0.325
R380	-0.00621	0.31875
R381	-0.0062	0.31875
R382	-0.00619	0.3125
R383	-0.00618	0.3125
R384	-0.00617	0.3125
R385	-0.00616	0.30625
R386	-0.00615	0.3
R387	-0.00614	0.3
R388	-0.00613	0.2875
R389	-0.00612	0.26875
R390	-0.00611	0.2625
R391	-0.0061	0.25
R392	-0.00609	0.2375
R393	-0.00608	0.28125
R394	-0.00607	0.28125
R395	-0.00606	0.28125
R396	-0.00605	0.28125
R397	-0.00604	0.275
R398	-0.00603	0.28125
R399	-0.00602	0.275
R400	-0.00601	0.26875
R401	-0.006	0.26875
R402	-0.00599	0.2625
R403	-0.00598	0.25625
R404	-0.00597	0.2625
R405	-0.00596	0.25625
R406	-0.00595	0.25625
R407	-0.00594	0.25
R408	-0.00593	0.24375
R409	-0.00592	0.23125
R410	-0.00591	0.23125
R411	-0.0059	0.2375
R412	-0.00589	0.2375
R413	-0.00588	0.23125
R414	-0.00587	0.2375
R415	-0.00586	0.23125
R416	-0.00585	0.23125
R417	-0.00584	0.225
R418	-0.00583	0.225
R419	-0.00582	0.225
R420	-0.00581	0.225
R421	-0.0058	0.21875
R422	-0.00579	0.21875
