	Time (Secs)	CHAN1
R1339	0.00338	0.79375
R1340	0.00339	0.79375
R1341	0.0034	0.79375
R1342	0.00341	0.79375
R1343	0.00342	0.8
R1344	0.00343	0.8
R1345	0.00344	0.8
R1346	0.00345	0.8
R1347	0.00346	0.8
R1348	0.00347	0.8
R1349	0.00348	0.8
R1350	0.00349	0.8
R1351	0.0035	0.80625
R1352	0.00351	0.80625
R1353	0.00352	0.80625
R1354	0.00353	0.80625
R1355	0.00354	0.8125
R1356	0.00355	0.80625
R1357	0.00356	0.8125
R1358	0.00357	0.8125
R1359	0.00358	0.80625
R1360	0.00359	0.81875
R1361	0.0036	0.8125
R1362	0.00361	0.8125
R1363	0.00362	0.81875
R1364	0.00363	0.8125
R1365	0.00364	0.81875
R1366	0.00365	0.81875
R1367	0.00366	0.81875
R1368	0.00367	0.81875
R1369	0.00368	0.825
R1370	0.00369	0.81875
R1371	0.0037	0.81875
R1372	0.00371	0.825
R1373	0.00372	0.81875
R1374	0.00373	0.825
R1375	0.00374	0.825
R1376	0.00375	0.825
R1377	0.00376	0.825
R1378	0.00377	0.825
R1379	0.00378	0.83125
R1380	0.00379	0.83125
R1381	0.0038	0.83125
R1382	0.00381	0.83125
R1383	0.00382	0.83125
R1384	0.00383	0.8375
R1385	0.00384	0.8375
R1386	0.00385	0.83125
R1387	0.00386	0.8375
R1388	0.00387	0.8375
R1389	0.00388	0.84375
R1390	0.00389	0.8375
R1391	0.0039	0.84375
R1392	0.00391	0.8375
R1393	0.00392	0.84375
R1394	0.00393	0.84375
R1395	0.00394	0.84375
R1396	0.00395	0.84375
R1397	0.00396	0.84375
R1398	0.00397	0.84375
R1399	0.00398	0.84375
R1400	0.00399	0.85
R1401	0.004	0.85
R1402	0.00401	0.85
R1403	0.00402	0.84375
R1404	0.00403	0.85
R1405	0.00404	0.85
R1406	0.00405	0.85
R1407	0.00406	0.85
R1408	0.00407	0.85625
R1409	0.00408	0.85
R1410	0.00409	0.85
R1411	0.0041	0.85
R1412	0.00411	0.85
R1413	0.00412	0.85625
R1414	0.00413	0.85625
R1415	0.00414	0.85625
R1416	0.00415	0.85
R1417	0.00416	0.85625
R1418	0.00417	0.85625
R1419	0.00418	0.85625
R1420	0.00419	0.85625
R1421	0.0042	0.85625
R1422	0.00421	0.85625
R1423	0.00422	0.85625
R1424	0.00423	0.85625
R1425	0.00424	0.85625
R1426	0.00425	0.8625
R1427	0.00426	0.8625
R1428	0.00427	0.8625
R1429	0.00428	0.8625
R1430	0.00429	0.8625
R1431	0.0043	0.8625
R1432	0.00431	0.8625
R1433	0.00432	0.8625
R1434	0.00433	0.8625
R1435	0.00434	0.8625
R1436	0.00435	0.8625
R1437	0.00436	0.8625
R1438	0.00437	0.8625
R1439	0.00438	0.86875
R1440	0.00439	0.8625
R1441	0.0044	0.86875
R1442	0.00441	0.8625
R1443	0.00442	0.8625
R1444	0.00443	0.8625
R1445	0.00444	0.86875
R1446	0.00445	0.86875
R1447	0.00446	0.8625
R1448	0.00447	0.86875
R1449	0.00448	0.86875
R1450	0.00449	0.86875
R1451	0.0045	0.86875
R1452	0.00451	0.86875
R1453	0.00452	0.86875
R1454	0.00453	0.86875
R1455	0.00454	0.86875
R1456	0.00455	0.86875
R1457	0.00456	0.8625
R1458	0.00457	0.86875
R1459	0.00458	0.86875
R1460	0.00459	0.86875
R1461	0.0046	0.86875
R1462	0.00461	0.86875
R1463	0.00462	0.86875
R1464	0.00463	0.86875
R1465	0.00464	0.86875
R1466	0.00465	0.86875
R1467	0.00466	0.875
R1468	0.00467	0.875
R1469	0.00468	0.86875
R1470	0.00469	0.86875
R1471	0.0047	0.86875
R1472	0.00471	0.875
R1473	0.00472	0.875
R1474	0.00473	0.86875
R1475	0.00474	0.86875
R1476	0.00475	0.86875
R1477	0.00476	0.875
R1478	0.00477	0.86875
R1479	0.00478	0.86875
R1480	0.00479	0.875
R1481	0.0048	0.86875
R1482	0.00481	0.86875
R1483	0.00482	0.86875
R1484	0.00483	0.86875
R1485	0.00484	0.86875
R1486	0.00485	0.86875
R1487	0.00486	0.875
R1488	0.00487	0.86875
R1489	0.00488	0.86875
R1490	0.00489	0.86875
R1491	0.0049	0.86875
R1492	0.00491	0.86875
R1493	0.00492	0.86875
R1494	0.00493	0.86875
R1495	0.00494	0.86875
R1496	0.00495	0.86875
R1497	0.00496	0.86875
R1498	0.00497	0.86875
R1499	0.00498	0.86875
R1500	0.00499	0.86875
R1501	0.005	0.86875
R1502	0.00501	0.86875
R1503	0.00502	0.8625
R1504	0.00503	0.86875
R1505	0.00504	0.86875
R1506	0.00505	0.86875
R1507	0.00506	0.86875
R1508	0.00507	0.86875
R1509	0.00508	0.86875
R1510	0.00509	0.86875
R1511	0.0051	0.8625
R1512	0.00511	0.8625
R1513	0.00512	0.86875
R1514	0.00513	0.86875
R1515	0.00514	0.8625
R1516	0.00515	0.8625
R1517	0.00516	0.8625
R1518	0.00517	0.8625
R1519	0.00518	0.8625
R1520	0.00519	0.8625
R1521	0.0052	0.8625
R1522	0.00521	0.8625
R1523	0.00522	0.8625
R1524	0.00523	0.8625
R1525	0.00524	0.8625
R1526	0.00525	0.8625
R1527	0.00526	0.8625
R1528	0.00527	0.8625
R1529	0.00528	0.85625
R1530	0.00529	0.85625
R1531	0.0053	0.85625
R1532	0.00531	0.85
R1533	0.00532	0.85625
R1534	0.00533	0.85625
R1535	0.00534	0.85625
R1536	0.00535	0.85
R1537	0.00536	0.85
R1538	0.00537	0.85625
R1539	0.00538	0.85625
R1540	0.00539	0.85
R1541	0.0054	0.85
R1542	0.00541	0.85
R1543	0.00542	0.85
R1544	0.00543	0.85
R1545	0.00544	0.85
R1546	0.00545	0.85
R1547	0.00546	0.85
R1548	0.00547	0.85
R1549	0.00548	0.85
R1550	0.00549	0.84375
R1551	0.0055	0.84375
R1552	0.00551	0.8375
R1553	0.00552	0.84375
R1554	0.00553	0.84375
R1555	0.00554	0.84375
R1556	0.00555	0.84375
R1557	0.00556	0.84375
R1558	0.00557	0.84375
R1559	0.00558	0.8375
R1560	0.00559	0.8375
R1561	0.0056	0.8375
R1562	0.00561	0.8375
R1563	0.00562	0.8375
R1564	0.00563	0.8375
R1565	0.00564	0.83125
R1566	0.00565	0.83125
R1567	0.00566	0.8375
R1568	0.00567	0.83125
R1569	0.00568	0.83125
R1570	0.00569	0.83125
R1571	0.0057	0.83125
R1572	0.00571	0.83125
R1573	0.00572	0.83125
R1574	0.00573	0.83125
R1575	0.00574	0.825
R1576	0.00575	0.83125
R1577	0.00576	0.825
R1578	0.00577	0.825
R1579	0.00578	0.825
R1580	0.00579	0.825
R1581	0.0058	0.825
R1582	0.00581	0.81875
R1583	0.00582	0.81875
R1584	0.00583	0.81875
R1585	0.00584	0.8125
R1586	0.00585	0.81875
R1587	0.00586	0.8125
R1588	0.00587	0.8125
R1589	0.00588	0.8125
R1590	0.00589	0.8125
R1591	0.0059	0.8125
R1592	0.00591	0.8125
R1593	0.00592	0.8125
R1594	0.00593	0.8125
R1595	0.00594	0.80625
R1596	0.00595	0.80625
R1597	0.00596	0.80625
R1598	0.00597	0.80625
R1599	0.00598	0.80625
R1600	0.00599	0.80625
R1601	0.006	0.80625
R1602	0.00601	0.8
R1603	0.00602	0.8
R1604	0.00603	0.8
R1605	0.00604	0.8
R1606	0.00605	0.8
R1607	0.00606	0.79375
R1608	0.00607	0.79375
R1609	0.00608	0.8
R1610	0.00609	0.79375
R1611	0.0061	0.7875
R1612	0.00611	0.7875
R1613	0.00612	0.7875
R1614	0.00613	0.7875
R1615	0.00614	0.7875
R1616	0.00615	0.78125
R1617	0.00616	0.78125
R1618	0.00617	0.78125
R1619	0.00618	0.78125
R1620	0.00619	0.78125
R1621	0.0062	0.78125
R1622	0.00621	0.775
R1623	0.00622	0.775
R1624	0.00623	0.775
R1625	0.00624	0.78125
R1626	0.00625	0.775
R1627	0.00626	0.775
R1628	0.00627	0.775
R1629	0.00628	0.76875
R1630	0.00629	0.76875
R1631	0.0063	0.76875
R1632	0.00631	0.7625
R1633	0.00632	0.7625
R1634	0.00633	0.7625
R1635	0.00634	0.7625
R1636	0.00635	0.75625
R1637	0.00636	0.75625
R1638	0.00637	0.75625
R1639	0.00638	0.75625
R1640	0.00639	0.75625
R1641	0.0064	0.75
R1642	0.00641	0.75
R1643	0.00642	0.75625
R1644	0.00643	0.75625
R1645	0.00644	0.75
R1646	0.00645	0.75
R1647	0.00646	0.75
R1648	0.00647	0.74375
R1649	0.00648	0.74375
R1650	0.00649	0.74375
R1651	0.0065	0.7375
R1652	0.00651	0.7375
R1653	0.00652	0.7375
R1654	0.00653	0.7375
R1655	0.00654	0.73125
R1656	0.00655	0.73125
R1657	0.00656	0.73125
R1658	0.00657	0.73125
R1659	0.00658	0.73125
R1660	0.00659	0.725
R1661	0.0066	0.725
R1662	0.00661	0.725
R1663	0.00662	0.725
R1664	0.00663	0.725
R1665	0.00664	0.725
R1666	0.00665	0.71875
R1667	0.00666	0.7125
R1668	0.00667	0.7125
R1669	0.00668	0.7125
R1670	0.00669	0.70625
R1671	0.0067	0.70625
R1672	0.00671	0.70625
R1673	0.00672	0.70625
R1674	0.00673	0.70625
R1675	0.00674	0.7
R1676	0.00675	0.7
R1677	0.00676	0.7
R1678	0.00677	0.7
R1679	0.00678	0.69375
R1680	0.00679	0.7
R1681	0.0068	0.69375
R1682	0.00681	0.69375
R1683	0.00682	0.6875
R1684	0.00683	0.6875
R1685	0.00684	0.6875
R1686	0.00685	0.66875
R1687	0.00686	0.60625
R1688	0.00687	0.56875
R1689	0.00688	0.5375
R1690	0.00689	0.49375
R1691	0.0069	0.46875
R1692	0.00691	0.44375
R1693	0.00692	0.425
R1694	0.00693	0.4
R1695	0.00694	0.675
R1696	0.00695	0.66875
R1697	0.00696	0.66875
R1698	0.00697	0.66875
R1699	0.00698	0.6625
R1700	0.00699	0.6625
R1701	0.007	0.6625
R1702	0.00701	0.65625
R1703	0.00702	0.65
R1704	0.00703	0.6
R1705	0.00704	0.55
R1706	0.00705	0.51875
R1707	0.00706	0.5
R1708	0.00707	0.45625
R1709	0.00708	0.44375
R1710	0.00709	0.425
R1711	0.0071	0.4
R1712	0.00711	0.38125
R1713	0.00712	0.6375
R1714	0.00713	0.6375
R1715	0.00714	0.63125
R1716	0.00715	0.63125
R1717	0.00716	0.63125
R1718	0.00717	0.63125
R1719	0.00718	0.63125
R1720	0.00719	0.625
R1721	0.0072	0.5875
R1722	0.00721	0.5625
R1723	0.00722	0.5125
R1724	0.00723	0.48125
R1725	0.00724	0.4625
R1726	0.00725	0.44375
R1727	0.00726	0.40625
R1728	0.00727	0.3875
R1729	0.00728	0.375
R1730	0.00729	0.6125
R1731	0.0073	0.60625
R1732	0.00731	0.6
R1733	0.00732	0.6
R1734	0.00733	0.6
R1735	0.00734	0.59375
R1736	0.00735	0.6
R1737	0.00736	0.5875
R1738	0.00737	0.5875
R1739	0.00738	0.54375
R1740	0.00739	0.5125
R1741	0.0074	0.48125
R1742	0.00741	0.45625
R1743	0.00742	0.4375
R1744	0.00743	0.41875
R1745	0.00744	0.39375
R1746	0.00745	0.375
R1747	0.00746	0.35625
R1748	0.00747	0.575
R1749	0.00748	0.56875
R1750	0.00749	0.56875
R1751	0.0075	0.56875
R1752	0.00751	0.5625
R1753	0.00752	0.5625
R1754	0.00753	0.55625
R1755	0.00754	0.55625
R1756	0.00755	0.55
R1757	0.00756	0.51875
R1758	0.00757	0.4875
R1759	0.00758	0.46875
R1760	0.00759	0.43125
R1761	0.0076	0.40625
R1762	0.00761	0.39375
R1763	0.00762	0.375
R1764	0.00763	0.35
R1765	0.00764	0.3375
R1766	0.00765	0.5375
R1767	0.00766	0.53125
R1768	0.00767	0.525
R1769	0.00768	0.53125
R1770	0.00769	0.525
R1771	0.0077	0.525
R1772	0.00771	0.51875
R1773	0.00772	0.51875
R1774	0.00773	0.5125
R1775	0.00774	0.48125
R1776	0.00775	0.46875
R1777	0.00776	0.44375
R1778	0.00777	0.4125
R1779	0.00778	0.4
R1780	0.00779	0.375
R1781	0.0078	0.3625
R1782	0.00781	0.34375
R1783	0.00782	0.31875
R1784	0.00783	0.49375
R1785	0.00784	0.4875
R1786	0.00785	0.4875
R1787	0.00786	0.4875
R1788	0.00787	0.4875
R1789	0.00788	0.48125
R1790	0.00789	0.48125
R1791	0.0079	0.48125
R1792	0.00791	0.475
R1793	0.00792	0.4625
R1794	0.00793	0.45
R1795	0.00794	0.425
R1796	0.00795	0.39375
R1797	0.00796	0.375
R1798	0.00797	0.3625
R1799	0.00798	0.34375
R1800	0.00799	0.325
R1801	0.008	0.31875
R1802	0.00801	0.45625
R1803	0.00802	0.45
R1804	0.00803	0.45
R1805	0.00804	0.45
R1806	0.00805	0.44375
R1807	0.00806	0.44375
R1808	0.00807	0.4375
R1809	0.00808	0.4375
R1810	0.00809	0.4375
R1811	0.0081	0.43125
R1812	0.00811	0.41875
R1813	0.00812	0.4
R1814	0.00813	0.38125
R1815	0.00814	0.3625
R1816	0.00815	0.35
R1817	0.00816	0.33125
R1818	0.00817	0.31875
R1819	0.00818	0.4125
R1820	0.00819	0.4125
R1821	0.0082	0.40625
R1822	0.00821	0.40625
R1823	0.00822	0.40625
R1824	0.00823	0.40625
R1825	0.00824	0.4
R1826	0.00825	0.4
R1827	0.00826	0.39375
R1828	0.00827	0.39375
R1829	0.00828	0.39375
R1830	0.00829	0.3875
R1831	0.0083	0.38125
R1832	0.00831	0.3625
R1833	0.00832	0.35
R1834	0.00833	0.33125
R1835	0.00834	0.31875
R1836	0.00835	0.30625
R1837	0.00836	0.36875
R1838	0.00837	0.3625
R1839	0.00838	0.3625
R1840	0.00839	0.36875
R1841	0.0084	0.3625
R1842	0.00841	0.3625
R1843	0.00842	0.3625
R1844	0.00843	0.35625
R1845	0.00844	0.35625
R1846	0.00845	0.35
R1847	0.00846	0.34375
R1848	0.00847	0.35
R1849	0.00848	0.34375
R1850	0.00849	0.3375
R1851	0.0085	0.325
R1852	0.00851	0.31875
R1853	0.00852	0.3
R1854	0.00853	0.2875
R1855	0.00854	0.31875
R1856	0.00855	0.325
R1857	0.00856	0.31875
R1858	0.00857	0.325
R1859	0.00858	0.31875
R1860	0.00859	0.31875
R1861	0.0086	0.31875
R1862	0.00861	0.3125
R1863	0.00862	0.3125
R1864	0.00863	0.3125
R1865	0.00864	0.3
R1866	0.00865	0.30625
R1867	0.00866	0.3
R1868	0.00867	0.29375
R1869	0.00868	0.2875
R1870	0.00869	0.2875
R1871	0.0087	0.2875
R1872	0.00871	0.275
R1873	0.00872	0.28125
R1874	0.00873	0.28125
R1875	0.00874	0.275
R1876	0.00875	0.275
R1877	0.00876	0.275
R1878	0.00877	0.26875
R1879	0.00878	0.26875
R1880	0.00879	0.26875
R1881	0.0088	0.2625
R1882	0.00881	0.2625
R1883	0.00882	0.2625
R1884	0.00883	0.25625
R1885	0.00884	0.25625
R1886	0.00885	0.25
R1887	0.00886	0.25
R1888	0.00887	0.24375
R1889	0.00888	0.25
R1890	0.00889	0.2375
R1891	0.0089	0.23125
R1892	0.00891	0.23125
R1893	0.00892	0.225
R1894	0.00893	0.23125
R1895	0.00894	0.225
R1896	0.00895	0.225
R1897	0.00896	0.225
R1898	0.00897	0.225
R1899	0.00898	0.21875
R1900	0.00899	0.21875
R1901	0.009	0.2125
R1902	0.00901	0.2125
R1903	0.00902	0.2125
R1904	0.00903	0.20625
R1905	0.00904	0.2
R1906	0.00905	0.2
R1907	0.00906	0.19375
R1908	0.00907	0.19375
R1909	0.00908	0.18125
R1910	0.00909	0.18125
R1911	0.0091	0.18125
R1912	0.00911	0.1875
R1913	0.00912	0.1875
R1914	0.00913	0.18125
R1915	0.00914	0.18125
R1916	0.00915	0.175
R1917	0.00916	0.16875
R1918	0.00917	0.16875
R1919	0.00918	0.16875
R1920	0.00919	0.16875
R1921	0.0092	0.1625
R1922	0.00921	0.15625
R1923	0.00922	0.15625
R1924	0.00923	0.15625
R1925	0.00924	0.15
R1926	0.00925	0.14375
R1927	0.00926	0.1375
R1928	0.00927	0.1375
R1929	0.00928	0.1375
R1930	0.00929	0.1375
R1931	0.0093	0.13125
R1932	0.00931	0.13125
R1933	0.00932	0.13125
R1934	0.00933	0.125
R1935	0.00934	0.125
R1936	0.00935	0.125
R1937	0.00936	0.11875
R1938	0.00937	0.11875
R1939	0.00938	0.1125
R1940	0.00939	0.1125
R1941	0.0094	0.1125
R1942	0.00941	0.10625
R1943	0.00942	0.10625
R1944	0.00943	0
R1945	0.00944	0
R1946	0.00945	0
R1947	0.00946	0
R1948	0.00947	0
R1949	0.00948	0
R1950	0.00949	0
R1951	0.0095	0
R1952	0.00951	0
R1953	0.00952	0
R1954	0.00953	0.075
R1955	0.00954	0.06875
R1956	0.00955	0.06875
R1957	0.00956	0.06875
R1958	0.00957	0
R1959	0.00958	0
R1960	0.00959	0
R1961	0.0096	0
R1962	0.00961	0
R1963	0.00962	0.04375
R1964	0.00963	0.0375
R1965	0.00964	0.04375
R1966	0.00965	0.04375
R1967	0.00966	0.04375
R1968	0.00967	0.0375
R1969	0.00968	0
R1970	0.00969	0
R1971	0.0097	0
R1972	0.00971	0
R1973	0.00972	0
R1974	0.00973	0
R1975	0.00974	0.0125
R1976	0.00975	0
R1977	0.00976	0.0125
R1978	0.00977	0.0125
R1979	0.00978	0
R1980	0.00979	0
R1981	0.0098	0
R1982	0.00981	0
R1983	0.00982	0
R1984	0.00983	0
R1985	0.00984	0
R1986	0.00985	0
R1987	0.00986	-0.01875
R1988	0.00987	0
R1989	0.00988	-0.01875
R1990	0.00989	-0.01875
R1991	0.0099	0
R1992	0.00991	0
R1993	0.00992	0
R1994	0.00993	0
R1995	0.00994	0
R1996	0.00995	0
R1997	0.00996	0
R1998	0.00997	0
R1999	0.00998	0
R2000	0.00999	0
